possession_wins_per90,Defending,Possession Wins Per90
tackle_success_pct,Defending,Percentage measure for tackle success.
tackles,Defending,Season aggregate for tackles.
tackles_per90,Defending,Tackles per 90 minutes.
tackles_won,Defending,Season aggregate for tackles won.
tackles_won_per90,Defending,Tackles won per 90 minutes.
turnover_risk,Defending,Season aggregate for turnover risk.
DQI,Glossary,Decision Quality Index — see decision_quality_index.
EPV,Glossary,Expected Possession Value — a possession-value model estimating how much a team’s current possession is worth in scoring terms.
GDA,Glossary,Goal Difference Added — this workbook’s on/off-style plus-minus model estimating a player’s contribution to goal difference.
Impact-score reliability floor,Glossary,"Composite *_impact_score fields (Player Standard, Player Impact) are left blank below roughly 400–470 minutes played this season — the sample is judged too small for a reliable composite. See impact_sample_reliability for the per-player confidence weight, and use raw category metrics for low-minute players instead."
Mid-season transfers,Glossary,"A player who changed clubs mid-season appears as one row per club under the same player_id (see transferred_mid_season on Player Standard). Group by player_id alone and you will double-count minutes; group by (player_id, team) to keep club splits separate, or sum across rows for a season total."
PPDA,Glossary,Passes Per Defensive Action — opposition passes allowed per defensive action performed; a common pressing-intensity proxy (lower = more intense press).
PSxG,Glossary,Post-Shot Expected Goals — xG recalculated using the shot’s actual placement/trajectory rather than pre-shot information alone.
RAPM,Glossary,Regularized Adjusted Plus-Minus — a plus-minus estimate adjusted for teammates and opponents via regularized regression.
VAEP,Glossary,Valuing Actions by Estimating Probabilities — a possession-value model that scores each on-ball action by its effect on scoring/conceding probability.
npxG,Glossary,Non-Penalty Expected Goals — xG with penalty-kick shots excluded.
xA,Glossary,"Expected Assists — the probability that a given pass becomes a goal assist, based on the resulting shot’s xG."
xG,Glossary,"Expected Goals — the probability that a shot results in a goal, based on shot location and situation."
xGOT,Glossary,Expected Goals On Target — the probability that a shot already on target results in a goal.
xT,Glossary,"Expected Threat — the change in scoring probability generated by moving the ball (via pass, carry or take-on) between pitch zones."
claim_action_share,Goalkeeping,Claim action as a share of the relevant action total.
claims,Goalkeeping,Season aggregate for claims.
claims_per90,Goalkeeping,Claims per 90 minutes.
danger_psxg_faced,Goalkeeping,Season aggregate for danger psxg faced.
danger_psxg_faced_per90,Goalkeeping,Danger Psxg Faced Per90
danger_shots_faced,Goalkeeping,Season aggregate for danger shots faced.
danger_shots_faced_per90,Goalkeeping,Danger Shots Faced Per90
danger_xg_faced,Goalkeeping,Season aggregate for danger xg faced.
danger_xg_faced_per90,Goalkeeping,Danger Xg Faced Per90
danger_xgot_faced,Goalkeeping,Season aggregate for danger xgot faced.
danger_xgot_faced_per90,Goalkeeping,Danger Xgot Faced Per90
goalkeeper_actions,Goalkeeping,Season aggregate for goalkeeper actions.
goalkeeper_actions_per90,Goalkeeping,Goalkeeper Actions Per90
goals_for_faced,Goalkeeping,Season aggregate for goals for faced.
goals_for_faced_per90,Goalkeeping,Goals For Faced Per90
goals_prevented_psxg,Goalkeeping,Goals Prevented Psxg
goals_prevented_psxg_per90,Goalkeeping,Goals Prevented Psxg Per90
goals_prevented_psxg_per_shot,Goalkeeping,Season aggregate for goals prevented psxg per shot.
goals_prevented_xgot,Goalkeeping,Goals Prevented Xgot
goals_prevented_xgot_per90,Goalkeeping,Goals Prevented Xgot Per90
goals_prevented_xgot_per_shot,Goalkeeping,Season aggregate for goals prevented xgot per shot.
keeper_pickups,Goalkeeping,Season aggregate for keeper pickups.
keeper_pickups_per90,Goalkeeping,Keeper Pickups Per90
punches,Goalkeeping,Season aggregate for punches.
punches_per90,Goalkeeping,Punches per 90 minutes.
save_pct_model,Goalkeeping,Season aggregate for save pct model.
save_rate,Goalkeeping,Rate measure for save.
saves,Goalkeeping,Season aggregate for saves.
saves_per90,Goalkeeping,Saves per 90 minutes.
xgot_faced_per_shot,Goalkeeping,Season aggregate for xgot faced per shot.
attacking_impact_score,Impact,"Mean of shooting, creation, and progression impact scores."
balanced_impact_score,Impact,Duplicate of total_football_impact_score (same values). Kept only for backward compatibility with existing sheet references — treat total_football_impact_score as the canonical column and prefer it in new work.
impact_above_50,Impact,Total football impact score minus the neutral reference level of 50.
impact_sample_reliability,Impact,Minutes divided by 900 and capped at 1; a transparent sample-size reliability indicator.
assist_chain_contributions,Passing,Direct assists plus second assists plus third assists.
assist_chain_contributions_per90,Passing,"Direct, second, and third assist-chain contributions per 90 minutes."
backward_pass_completion_pct,Passing,Completed backward passes divided by attempted backward passes.
backward_pass_share,Passing,Backward passes as a share of all attempted passes.
backward_passes,Passing,Season aggregate for backward passes.
backward_passes_completed,Passing,Backward Passes Completed
backward_passes_completed_per90,Passing,Backward Passes Completed Per90
backward_passes_per90,Passing,Backward Passes Per90
box_entry_pass_share,Passing,Passes into the penalty area as a share of all attempted passes.
central_pass_share,Passing,Central passes as a share of all attempted passes.
central_passes,Passing,Season aggregate for central passes.
central_passes_per90,Passing,Central Passes Per90
final_third_entry_pass_share,Passing,Passes into the final third as a share of all attempted passes.
forward_pass_completion_pct,Passing,Completed forward passes divided by attempted forward passes.
forward_pass_share,Passing,Forward passes as a share of all attempted passes.
forward_passes,Passing,Season aggregate for forward passes.
forward_passes_completed,Passing,Forward Passes Completed
forward_passes_completed_per90,Passing,Forward Passes Completed Per90
forward_passes_per90,Passing,Forward Passes Per90
lateral_pass_share,Passing,Lateral passes as a share of all attempted passes.
lateral_passes,Passing,Season aggregate for lateral passes.
lateral_passes_per90,Passing,Lateral Passes Per90
long_distance_passes,Passing,Long Distance Passes
long_distance_passes_completed,Passing,Long Distance Passes Completed
long_distance_passes_completed_per90,Passing,Long Distance Passes Completed Per90
long_distance_passes_per90,Passing,Long Distance Passes Per90
long_pass_completion_pct,Passing,Completed long-distance passes divided by attempted long-distance passes.
long_pass_share,Passing,Long-distance passes as a share of all attempted passes.
medium_pass_completion_pct,Passing,Completed medium passes divided by attempted medium passes.
medium_pass_share,Passing,Medium passes as a share of all attempted passes.
medium_passes,Passing,Season aggregate for medium passes.
medium_passes_completed,Passing,Medium Passes Completed
medium_passes_completed_per90,Passing,Medium Passes Completed Per90
medium_passes_per90,Passing,Medium passes per 90 minutes.
pass_completion_pct,Passing,Percentage measure for pass completion.
pass_distance,Passing,Season aggregate for pass distance.
pass_distance_per90,Passing,Pass distance per 90 minutes.
passes_attempted,Passing,Season aggregate for passes attempted.
passes_attempted_per90,Passing,Passes Attempted Per90
passes_completed,Passing,Season aggregate for passes completed.
passes_completed_per90,Passing,Passes Completed Per90
press_resistance_proxy,Passing,"0–1 proxy for a player’s ability to retain/progress the ball under opposition pressure, estimated from pressured-pass and take-on outcomes."
pressured_pass_completion_pct,Passing,Completed pressured passes divided by attempted pressured passes.
pressured_pass_share,Passing,Passes attempted under pressure as a share of all attempted passes.
pressured_passes,Passing,Season aggregate for pressured passes.
pressured_passes_completed,Passing,Pressured Passes Completed
pressured_passes_completed_per90,Passing,Pressured Passes Completed Per90
pressured_passes_per90,Passing,Pressured Passes Per90
second_assists,Passing,Completed passes immediately before the direct assist in a consecutive same-team goal sequence.
second_assists_per90,Passing,Second assists per 90 minutes.
set_piece_pass_completion_pct,Passing,Completed set-piece passes divided by attempted set-piece passes.
short_pass_completion_pct,Passing,Completed short passes divided by attempted short passes.
short_pass_share,Passing,Short passes as a share of all attempted passes.
short_passes,Passing,Season aggregate for short passes.
short_passes_completed,Passing,Short Passes Completed
short_passes_completed_per90,Passing,Short Passes Completed Per90
short_passes_per90,Passing,Short passes per 90 minutes.
switches,Passing,Season aggregate for switches.
third_assists,Passing,Completed passes immediately before the second assist in a consecutive same-team goal sequence.
third_assists_per90,Passing,Third assists per 90 minutes.
through_ball_completion_pct,Passing,Completed through balls divided by attempted through balls.
wide_pass_share,Passing,Wide passes as a share of all attempted passes.
wide_passes,Passing,Season aggregate for wide passes.
wide_passes_per90,Passing,Wide passes per 90 minutes.
dominant_formation_slot,Position,"Internal numeric formation-slot id (0–11) assigned during lineup parsing; 0 = no dominant slot identified. Only slot 1 has a clean 1:1 mapping to a role (goalkeeper) in this dataset — other slot numbers are club/formation-specific and are not independently published, so treat this as an opaque internal id rather than a defined metric."
position_confidence,Position,75% dominant lineup share plus 25% on-ball sample confidence; goalkeeper evidence floors confidence at 95%.
position_detail,Position,Detailed role from broad lineup position plus median on-ball x/y location.
position_group,Position,Dominant broad position from lineup position code; goalkeeper events override ambiguity.
position_source,Position,Evidence used for classification.
position_versatility,Position,"Normalized entropy of minutes across recorded lineup position codes; 0 is stable, 1 is highly varied."
secondary_position,Position,Second lineup position when it accounts for at least 20% of recorded stint minutes.
average_carry_distance,Possession,Season aggregate for average carry distance.
box_action_share,Possession,Penalty-area actions as a share of final-third actions.
carries,Possession,Ordinary carries inferred from consecutive same-player located touches 3–45 metres apart and 1.2–21 seconds apart.
carries_into_box_per90,Possession,Carries into box per 90 minutes.
carries_into_final_third_per90,Possession,Carries into final third per 90 minutes.
carries_per90,Possession,Carries per 90 minutes.
carry_distance,Possession,Total inferred carry distance in Opta pitch units.
carry_distance_per90,Possession,Carry distance per 90 minutes.
dangerous_turnover_share,Possession,Dangerous turnovers as a share of all turnovers.
events,Possession,Season aggregate for events.
events_per90,Possession,Recorded on-ball events per 90 minutes.
non_turnover_actions,Possession,Recorded on-ball events minus turnovers.
non_turnover_actions_per90,Possession,Recorded on-ball events excluding turnovers per 90 minutes.
progressive_carries_per90,Possession,Progressive carries per 90 minutes.
progressive_carry_share,Possession,Progressive carry as a share of the relevant action total.
take_on_action_share,Possession,Take-ons as a share of all recorded on-ball events.
take_ons_unsuccessful,Possession,Attempted take-ons minus completed take-ons.
take_ons_unsuccessful_per90,Possession,Unsuccessful take-ons per 90 minutes.
turnovers_per_100_actions,Possession,Turnovers per 100 recorded on-ball events.
xt_carries,Possession,Expected-threat value added through carries.
xt_carries_per90,Possession,Xt carries per 90 minutes.
xt_take_ons,Possession,Expected-threat value added through take-ons.
xt_take_ons_per90,Possession,Xt take ons per 90 minutes.
box_entries_per_progressive_pass,Progression,Passes into the penalty area divided by progressive passes.
carries_into_box,Progression,Carries starting outside and ending inside the penalty area.
carries_into_final_third,Progression,Carries starting outside and ending inside the final third.
deep_completion_per_box_entry,Progression,Deep completions divided by passes into the penalty area.
final_third_entries_per_progressive_pass,Progression,Passes into the final third divided by progressive passes.
positive_xt_share,Progression,Positive expected-threat added divided by the absolute net expected-threat added.
progressive_carries,Progression,Carries advancing at least 10 pitch units or crossing a major attacking-zone boundary.
xt_added_per_progressive_pass,Progression,Expected-threat value added per progressive pass.
xt_from_all_passes,Progression,Expected-threat value added by all passes.
xt_from_all_passes_per90,Progression,Xt from all passes per 90 minutes.
xt_from_progressive_passes_est,Progression,"Estimated progressive-pass xT, allocating all-pass xT by the progressive-pass share of attempted passes; not directly observed event-level xT."
xt_from_progressive_passes_est_per90,Progression,Xt from progressive passes est per 90 minutes.
xt_passes,Progression,Expected-threat value added through passes.
xt_passes_per90,Progression,Xt passes per 90 minutes.
xt_per_pass,Progression,Expected-threat value from all passes divided by attempted passes.
xt_per_progressive_pass_est,Progression,Estimated progressive-pass xT divided by progressive passes.
axis_label,Radar Profiles,Reader-facing label displayed on the radar axis.
axis_order,Radar Profiles,Clockwise axis order used when constructing the radar.
comparison_pool,Radar Profiles,Profile and minutes-qualified group used to calculate the percentile.
direction,Radar Profiles,Whether higher or lower raw values produce a stronger percentile.
eligible_for_reference,Radar Profiles,Whether the player meets the minimum-minutes threshold for the comparison pool.
metric,Radar Profiles,Underlying workbook metric used for the radar axis.
minimum_minutes,Radar Profiles,Minimum minutes required for inclusion in the percentile reference pool.
percentile,Radar Profiles,Role-specific 0–100 percentile after applying the stated metric direction.
position_details,Radar Profiles,Detailed positions mapped into the radar profile.
profile,Radar Profiles,Role-specific radar profile assigned from the player's detailed position.
rationale,Radar Profiles,Reason the metric is included in the role-specific radar.
raw_value,Radar Profiles,Original metric value before percentile normalization.
reference_players,Radar Profiles,Number of players with usable data in the profile reference pool.
unit,Radar Profiles,Display unit for the raw metric value.
danger_on_target_rate,Rates & Per-90,Danger On Target Rate
gda_action_count_per90,Rates & Per-90,Gda Action Count Per90
gda_action_goals_per90,Rates & Per-90,Gda Action Goals Per90
gda_action_shots_per90,Rates & Per-90,Gda Action Shots Per90
gda_reliability_adjusted_per90,Rates & Per-90,Gda Reliability Adjusted Per90
gda_score_component_per90,Rates & Per-90,Gda Score Component Per90
gda_shot_xg_per90,Rates & Per-90,"Total xG of shots captured within the GDA action log, per 90 minutes (used to sense-check GDA against shot quality; distinct from the shot-level xG figures in Player Shooting)."
xt_actions_per90,Rates & Per-90,Xt actions per 90 minutes.
xt_per_100_actions_per90,Rates & Per-90,Xt Per 100 Actions Per90
xt_positive_per_100_actions_per90,Rates & Per-90,Xt Positive Per 100 Actions Per90
big_chance_shot_share,Shooting,Share of all shots classified as big chances.
big_chance_shots,Shooting,Season aggregate for big chance shots.
big_chance_shots_per90,Shooting,Big-chance shots per 90 minutes.
box_shot_share,Shooting,Share of all shots taken from inside the penalty area.
conversion_pct,Shooting,Percentage measure for conversion.
danger_psxg,Shooting,Season aggregate for danger psxg.
danger_psxg_per90,Shooting,Post-shot expected goals per 90 minutes.
danger_score_total,Shooting,"Sum of the shot-by-shot danger score (a composite of xG, PSxG and xGOT context) across a player’s shots this season."
danger_score_total_per90,Shooting,"Sum of shot danger scores, per 90 minutes."
danger_xg,Shooting,Season aggregate for danger xg.
danger_xg_per90,Shooting,Danger xg per 90 minutes.
danger_xgot,Shooting,Season aggregate for danger xgot.
danger_xgot_per90,Shooting,Expected goals on target per 90 minutes.
goals,Shooting,Season aggregate for goals.
goals_minus_xg,Shooting,Season aggregate for goals minus xg.
goals_minus_xg_per90,Shooting,Goals above or below expected goals per 90 minutes.
goals_per90,Shooting,Goals per 90 minutes.
goals_per_shot_on_target,Shooting,Goals divided by shots on target.
headed_shot_share,Shooting,Share of all shots that were headers.
headed_shots,Shooting,Season aggregate for headed shots.
headed_shots_per90,Shooting,Headed shots per 90 minutes.
matches,Shooting,Season aggregate for matches.
minutes,Shooting,Season aggregate for minutes.
non_penalty_conversion_pct,Shooting,Non-penalty goals divided by non-penalty shots.
non_penalty_goals,Shooting,Season aggregate for non penalty goals.
non_penalty_goals_minus_xg,Shooting,Non-penalty goals minus non-penalty expected goals.
non_penalty_goals_minus_xg_per90,Shooting,Non-penalty goals minus non-penalty expected goals per 90 minutes.
non_penalty_goals_per90,Shooting,Non-penalty goals per 90 minutes.
non_penalty_xg,Shooting,Season aggregate for non penalty xg.
non_penalty_xg_per90,Shooting,Non-penalty expected goals per 90 minutes.
penalty_shots,Shooting,Season aggregate for penalty shots.
penalty_shots_per90,Shooting,Penalty shots per 90 minutes.
psxg_per_shot_on_target,Shooting,Post-shot expected goals per shot on target.
shooting_impact_score,Shooting,Shooting Impact Score
shot_accuracy_pct,Shooting,Percentage measure for shot accuracy.
shots,Shooting,Season aggregate for shots.
shots_in_box,Shooting,Season aggregate for shots in box.
shots_in_box_per90,Shooting,Shots taken from inside the penalty area per 90 minutes.
shots_on_target,Shooting,Season aggregate for shots on target.
shots_on_target_per90,Shooting,Shots on target per 90 minutes.
shots_outside_box,Shooting,Season aggregate for shots outside box.
shots_outside_box_per90,Shooting,Shots taken from outside the penalty area per 90 minutes.
shots_per90,Shooting,Shots per 90 minutes.
xg_conversion_index,Shooting,Goals divided by expected goals; 1.00 indicates output in line with xG.
xg_per_shot,Shooting,Season aggregate for xg per shot.
xgot_minus_xg,Shooting,Season aggregate for xgot minus xg.
xgot_minus_xg_per90,Shooting,Expected goals on target minus expected goals per 90 minutes.
xgot_per_shot_on_target,Shooting,Expected goals on target per shot on target.
assists,attacking,Season aggregate for assists.
assists_per90,attacking,Assists per 90 minutes.
ball_security,attacking,0–1 share of a player’s on-ball actions retained without a turnover (higher = more secure in possession).
box_actions,attacking,Season aggregate for box actions.
box_actions_per90,attacking,Box actions per 90 minutes.
creation_impact_score,attacking,Creation Impact Score
cutbacks,attacking,Season aggregate for cutbacks.
dangerous_turnovers,attacking,Season aggregate for dangerous turnovers.
dangerous_turnovers_per90,attacking,Dangerous Turnovers Per90
decision_quality_index,attacking,Proprietary 0–100-scale index of on-ball decision quality (higher = more value-adding choices per action); see the pipeline methodology for the underlying weighting.
deep_completions,attacking,Season aggregate for deep completions.
expected_assists,attacking,Season aggregate for expected assists.
expected_goal_contribution,attacking,Expected Goal Contribution
expected_goal_contribution_per90,attacking,Expected Goal Contribution Per90
final_third_actions,attacking,Season aggregate for final third actions.
final_third_actions_per90,attacking,Final Third Actions Per90
key_passes,attacking,Season aggregate for key passes.
key_passes_per90,attacking,Key passes per 90 minutes.
passes_to_shot,attacking,Season aggregate for passes to shot.
take_on_success_pct,attacking,Percentage measure for take on success.
take_ons,attacking,Season aggregate for take ons.
take_ons_completed,attacking,Season aggregate for take ons completed.
take_ons_completed_per90,attacking,Take Ons Completed Per90
take_ons_per90,attacking,Take ons per 90 minutes.
turnovers,attacking,Season aggregate for turnovers.
turnovers_per90,attacking,Turnovers per 90 minutes.
xt_added,attacking,Season aggregate for xt added.
expected_assists_per90,key_passing,Expected Assists Per90
passes_to_goal,key_passing,Season aggregate for passes to goal.
passes_to_goal_per90,key_passing,Passes To Goal Per90
passes_to_shot_per90,key_passing,Passes To Shot Per90
post_shot_expected_assists,key_passing,Post Shot Expected Assists
post_shot_expected_assists_per90,key_passing,Post Shot Expected Assists Per90
through_balls,key_passing,Season aggregate for through balls.
through_balls_completed,key_passing,Through Balls Completed
through_balls_completed_per90,key_passing,Through Balls Completed Per90
through_balls_per90,key_passing,Through balls per 90 minutes.
cutbacks_per90,progressive_passing,Cutbacks per 90 minutes.
deep_completions_per90,progressive_passing,Deep Completions Per90
deep_entry_efficiency,progressive_passing,Deep Entry Efficiency
passes_into_box,progressive_passing,Season aggregate for passes into box.
passes_into_box_per90,progressive_passing,Passes Into Box Per90
passes_into_final_third,progressive_passing,Passes Into Final Third
passes_into_final_third_per90,progressive_passing,Passes Into Final Third Per90
progression_impact_score,progressive_passing,Progression Impact Score
progressive_accuracy,progressive_passing,Progressive Accuracy
progressive_pass_distance,progressive_passing,Progressive Pass Distance
progressive_pass_distance_per90,progressive_passing,Progressive Pass Distance Per90
progressive_pass_share,progressive_passing,Progressive Pass Share
progressive_passes,progressive_passing,Season aggregate for progressive passes.
progressive_passes_per90,progressive_passing,Progressive Passes Per90
switches_per90,progressive_passing,Switches per 90 minutes.
xt_added_per90,progressive_passing,Xt added per 90 minutes.
set_piece_passes,set_pieces,Season aggregate for set piece passes.
set_piece_passes_completed,set_pieces,Set Piece Passes Completed
set_piece_passes_completed_per90,set_pieces,Set Piece Passes Completed Per90
set_piece_passes_per90,set_pieces,Set Piece Passes Per90
epv_added,value_models,Total Expected Possession Value (EPV) added — the sum of a player’s estimated change in possession value across all on-ball actions this season.
gda_actual_action_value,value_models,Realised (actual outcome) Goal Difference Added (GDA) contribution of a player’s actions.
gda_actual_action_value_per90,value_models,"Realised GDA contribution of a player’s actions, per 90 minutes."
gda_expected_action_value,value_models,"Model-expected Goal Difference Added (GDA) contribution of a player’s actions, before comparing to the realised outcome."
gda_expected_action_value_per90,value_models,"Expected GDA contribution of a player’s actions, per 90 minutes."
gda_goal_difference_added,value_models,Gda Goal Difference Added
gda_goal_difference_added_per90,value_models,Gda Goal Difference Added Per90
goals_added,value_models,Season aggregate for goals added.
goals_added_per90,value_models,Goals added per 90 minutes.
rapm_per90,value_models,"Regularized Adjusted Plus-Minus: a player’s estimated effect on team goal difference per 90 minutes, isolated from teammates/opponents via regularized regression on stint data."
raw_plus_minus,value_models,Unadjusted goal difference while the player was on the pitch (not isolated from teammates/opponents — see rapm_per90 for the adjusted version).
raw_plus_minus_per90,value_models,"Unadjusted goal difference while on the pitch, per 90 minutes."
total_football_impact_score,value_models,"Headline 0–100 composite rating blending shooting, creation, progression and defensive impact scores (identical to balanced_impact_score, retained on Player Impact for backward compatibility — use total_football_impact_score as the canonical name). Blank below the reliability floor (~400–470 minutes); see impact_sample_reliability."
vaep_value,value_models,Total VAEP (Valuing Actions by Estimating Probabilities) value — the sum of a player’s estimated change in scoring/conceding probability across all on-ball actions this season.
xt_positive_added,value_models,Season aggregate for xt positive added.
xt_positive_added_per90,value_models,Xt Positive Added Per90
transferred_mid_season,Position,"True if this player has more than one row this season (i.e. changed clubs mid-season) — see the Glossary entry ""Mid-season transfers"" for how to aggregate correctly."
